year_no,week_no,year_week,close_average
2017,31,2017-31,12991.96
2017,32,2017-32,12999.26
2017,33,2017-33,12843.08
2017,34,2017-34,12791.14
2017,35,2017-35,12797.38
2017,36,2017-36,12834.85
2017,37,2017-37,13026.84
2017,38,2017-38,13083.69
2017,39,2017-39,13278.18
2017,40,2017-40,13415.11
2017,41,2017-41,13405.07
2017,42,2017-42,13438.93
2017,43,2017-43,13525.06
2017,44,2017-44,13549.51
2017,45,2017-45,13399.66
2017,46,2017-46,13192.01
2017,47,2017-47,13178.62
2017,48,2017-48,13118.08
2017,49,2017-49,13125.12
2017,50,2017-50,13217.96
2017,51,2017-51,13246.45
2017,52,2017-52,13095.23
2018,1,2018-01,13187.89
2018,2,2018-02,13424.88
2018,3,2018-03,13440.04
2018,4,2018-04,13463.35
2018,5,2018-05,13185.95
2018,6,2018-06,12774.08
2018,7,2018-07,12916.1
2018,8,2018-08,13252.85
2018,9,2018-09,13338.4
2018,10,2018-10,13301.07
2018,11,2018-11,13311.33
2018,12,2018-12,13005.23
2018,13,2018-13,12923.46
2018,14,2018-14,12944.19
2018,15,2018-15,13024.83
2018,16,2018-16,13217.62
2018,17,2018-17,13343.08
2018,18,2018-18,13542.77
2018,19,2018-19,13719.17
2018,20,2018-20,13644.74
2018,21,2018-21,13535.19
2018,22,2018-22,13237.35
2018,23,2018-23,13205.19
2018,24,2018-24,13229.18
2018,25,2018-25,13229.63
2018,26,2018-26,13148.7
2018,27,2018-27,13105.13
2018,28,2018-28,13293.73
2018,29,2018-29,13429.91
2018,30,2018-30,13613.73
2018,31,2018-31,13539.12
2018,32,2018-32,13545.92
2018,33,2018-33,13500.54
2018,34,2018-34,13875.83
2018,35,2018-35,14217.22
2018,36,2018-36,13864.37
2018,37,2018-37,13750.28
2018,38,2018-38,13736.26
2018,39,2018-39,13900.48
2018,40,2018-40,13746.55
2018,41,2018-41,13128.84
2018,42,2018-42,12894.72
2018,43,2018-43,12619.87
2018,44,2018-44,12812.23
2018,45,2018-45,12965.04
2018,46,2018-46,12799.85
2018,47,2018-47,12518.6
2018,48,2018-48,12739.03
2018,49,2018-49,12611.65
2018,50,2018-50,12637.63
2018,51,2018-51,12379.24
2018,52,2018-52,12074.28
