year_no,week_no,year_week,swe,nor
2012,8,2012-08,17.9,3
2012,9,2012-09,17.9,3
2012,10,2012-10,17.9,3
2012,11,2012-11,17.9,3
2012,12,2012-12,17.9,3
2012,13,2012-13,17.9,3
2012,14,2012-14,17.9,3
2012,15,2012-15,17.9,3
2012,16,2012-16,17.9,3
2012,17,2012-17,17.9,3
2012,18,2012-18,17.9,3
2012,19,2012-19,17.9,3
2012,20,2012-20,17.9,3
2012,21,2012-21,17.9,3
2012,22,2012-22,17.9,3
2012,23,2012-23,17.9,3
2012,24,2012-24,17.9,3
2012,25,2012-25,17.9,3
2012,26,2012-26,17.9,3
2012,27,2012-27,17.9,3
2012,28,2012-28,17.9,3
2012,29,2012-29,17.9,3
2012,30,2012-30,17.9,3
2012,31,2012-31,17.9,3
2012,32,2012-32,17.9,3
2012,33,2012-33,17.9,3
2012,34,2012-34,17.9,3
2012,35,2012-35,17.9,3
2012,36,2012-36,17.9,3
2012,37,2012-37,17.9,3
2012,38,2012-38,17.9,3
2012,39,2012-39,17.9,3
2012,40,2012-40,17.9,3
2012,41,2012-41,17.9,3
2012,42,2012-42,17.9,3
2012,43,2012-43,17.9,3
2012,44,2012-44,17.9,3
2012,45,2012-45,17.9,3
2012,46,2012-46,17.9,3
2012,47,2012-47,17.9,3
2012,48,2012-48,17.9,3
2012,49,2012-49,17.9,3
2012,50,2012-50,17.9,3
2012,51,2012-51,17.9,3
2012,52,2012-52,17.9,3
2013,1,2013-01,13.5,4.9
2013,2,2013-02,13.5,4.9
2013,3,2013-03,13.5,4.9
2013,4,2013-04,13.5,4.9
2013,5,2013-05,13.5,4.9
2013,6,2013-06,13.5,4.9
2013,7,2013-07,13.5,4.9
2013,8,2013-08,13.5,4.9
2013,9,2013-09,13.5,4.9
2013,10,2013-10,13.5,4.9
2013,11,2013-11,13.5,4.9
2013,12,2013-12,13.5,4.9
2013,13,2013-13,13.5,4.9
2013,14,2013-14,13.5,4.9
2013,15,2013-15,13.5,4.9
2013,16,2013-16,13.5,4.9
2013,17,2013-17,13.5,4.9
2013,18,2013-18,13.5,4.9
2013,19,2013-19,13.5,4.9
2013,20,2013-20,13.5,4.9
2013,21,2013-21,13.5,4.9
2013,22,2013-22,13.5,4.9
2013,23,2013-23,13.5,4.9
2013,24,2013-24,13.5,4.9
2013,25,2013-25,13.5,4.9
2013,26,2013-26,13.5,4.9
2013,27,2013-27,13.5,4.9
2013,28,2013-28,13.5,4.9
2013,29,2013-29,13.5,4.9
2013,30,2013-30,13.5,4.9
2013,31,2013-31,13.5,4.9
2013,32,2013-32,13.5,4.9
2013,33,2013-33,13.5,4.9
2013,34,2013-34,13.5,4.9
2013,35,2013-35,13.5,4.9
2013,36,2013-36,13.5,4.9
2013,37,2013-37,13.5,4.9
2013,38,2013-38,13.5,4.9
2013,39,2013-39,13.5,4.9
2013,40,2013-40,13.5,4.9
2013,41,2013-41,13.5,4.9
2013,42,2013-42,13.5,4.9
2013,43,2013-43,13.5,4.9
2013,44,2013-44,13.5,4.9
2013,45,2013-45,13.5,4.9
2013,46,2013-46,13.5,4.9
2013,47,2013-47,13.5,4.9
