year_no,week_no,year_week,close_average
2014,12,2014-12,856.444
2014,13,2014-13,850.876
2014,14,2014-14,866.614
2014,15,2014-15,849.536
2014,16,2014-16,834.258
2014,17,2014-17,849.233
2014,18,2014-18,854.846
2014,19,2014-19,850.852
2014,20,2014-20,865.554
2014,21,2014-21,867.982
2014,22,2014-22,875.588
2014,23,2014-23,876.842
2014,24,2014-24,888.864
2014,25,2014-25,886.114
2014,26,2014-26,875.522
2014,27,2014-27,875.938
2014,28,2014-28,861.734
2014,29,2014-29,868.58
2014,30,2014-30,880.926
2014,31,2014-31,876.14
2014,32,2014-32,851.8
2014,33,2014-33,855.564
2014,34,2014-34,873.812
2014,35,2014-35,883.17
2014,36,2014-36,885.474
2014,37,2014-37,886.162
2014,38,2014-38,899.292
2014,39,2014-39,902.526
2014,40,2014-40,892.258
2014,41,2014-41,859.062
2014,42,2014-42,824.864
2014,43,2014-43,854.398
2014,44,2014-44,871.844
2014,45,2014-45,880.946
2014,46,2014-46,883.56
2014,47,2014-47,889.008
2014,48,2014-48,907.664
2014,49,2014-49,904.42
2014,50,2014-50,889.948
2014,51,2014-51,859.218
2014,52,2014-52,881.144
2015,1,2015-01,881.85
2015,2,2015-02,873.466
2015,3,2015-03,885.504
2015,4,2015-04,924.702
2015,5,2015-05,954.85
2015,6,2015-06,955.904
2015,7,2015-07,955.1
2015,8,2015-08,979.828
2015,9,2015-09,1010.97
2015,10,2015-10,1023.004
2015,11,2015-11,1031.64
2015,12,2015-12,1048.61
2015,13,2015-13,1045.382
2015,14,2015-14,1054.89
2015,15,2015-15,1073.738
2015,16,2015-16,1079.874
2015,17,2015-17,1075.944
2015,18,2015-18,1049.458
2015,19,2015-19,1024.942
2015,20,2015-20,1031.708
2015,21,2015-21,1051.128
2015,22,2015-22,1058.14
2015,23,2015-23,1038.424
2015,24,2015-24,1021.19
2015,25,2015-25,1005.966
2015,26,2015-26,1033.092
2015,27,2015-27,1001.838
2015,28,2015-28,986.934
2015,29,2015-29,1043.712
2015,30,2015-30,1046.54
2015,31,2015-31,1024.986
2015,32,2015-32,1037.11
2015,33,2015-33,1017.21
2015,34,2015-34,995.516
2015,35,2015-35,934.706
2015,36,2015-36,948.85
2015,37,2015-37,960.522
2015,38,2015-38,954.982
2015,39,2015-39,929.802
2015,40,2015-40,916.324
2015,41,2015-41,958.24
2015,42,2015-42,949.918
2015,43,2015-43,957.384
2015,44,2015-44,969.492
2015,45,2015-45,982.974
2015,46,2015-46,979.434
2015,47,2015-47,988.558
2015,48,2015-48,992.76
2015,49,2015-49,1004.534
2015,50,2015-50,964.16
2015,51,2015-51,951.714
2015,52,2015-52,962.465
2015,53,2015-53,977.338
2016,1,2016-01,940.654
2016,2,2016-02,912.704
2016,3,2016-03,893.08
2016,4,2016-04,923.976
2016,5,2016-05,892.15
2016,6,2016-06,831.982
2016,7,2016-07,880.402
2016,8,2016-08,899.826
2016,9,2016-09,922.058
2016,10,2016-10,930.85
2016,11,2016-11,936.34
2016,12,2016-12,914.405
2016,13,2016-13,907.668
2016,14,2016-14,900.656
2016,15,2016-15,919.702
2016,16,2016-16,936.692
2016,17,2016-17,922.136
2016,18,2016-18,889.002
2016,19,2016-19,886.308
2016,20,2016-20,888.082
2016,21,2016-21,913.708
2016,22,2016-22,919.006
2016,23,2016-23,911.72
2016,24,2016-24,861.282
2016,25,2016-25,892.228
2016,26,2016-26,866.296
2016,27,2016-27,871.918
2016,28,2016-28,900.764
2016,29,2016-29,908.724
2016,30,2016-30,910.542
2016,31,2016-31,893.51
2016,32,2016-32,898.01
2016,33,2016-33,890.59
2016,34,2016-34,896.452
2016,35,2016-35,898.676
2016,36,2016-36,904.456
2016,37,2016-37,887.502
2016,38,2016-38,897.252
2016,39,2016-39,886.822
2016,40,2016-40,893.33
2016,41,2016-41,881.058
2016,42,2016-42,891.696
2016,43,2016-43,886.786
2016,44,2016-44,843.614
2016,45,2016-45,847.954
2016,46,2016-46,856.164
2016,47,2016-47,864.714
2016,48,2016-48,865.758
2016,49,2016-49,887.304
2016,50,2016-50,910.72
2016,51,2016-51,913.87
2016,52,2016-52,918.17
2017,1,2017-01,928.576
2017,2,2017-02,920.07
2017,3,2017-03,920.634
2017,4,2017-04,928.646
2017,5,2017-05,934.116
2017,6,2017-06,934.536
2017,7,2017-07,949.976
2017,8,2017-08,955.2
2017,9,2017-09,949.962
2017,10,2017-10,945.852
2017,11,2017-11,955.05
2017,12,2017-12,948.33
2017,13,2017-13,949.37
2017,14,2017-14,945.764
2017,15,2017-15,951.375
2017,16,2017-16,944.285
2017,17,2017-17,973.878
2017,18,2017-18,990.344
2017,19,2017-19,999.874
2017,20,2017-20,990.63
2017,21,2017-21,995.572
2017,22,2017-22,997.354
2017,23,2017-23,1000.164
2017,24,2017-24,1001.662
2017,25,2017-25,1005.464
2017,26,2017-26,990.428
2017,27,2017-27,994.584
2017,28,2017-28,1006.34
2017,29,2017-29,998.474
2017,30,2017-30,980.246
2017,31,2017-31,979.252
2017,32,2017-32,978.46
2017,33,2017-33,976.226
2017,34,2017-34,971.016
2017,35,2017-35,974.88
2017,36,2017-36,977.08
2017,37,2017-37,987.67
2017,38,2017-38,993.068
2017,39,2017-39,1001.056
2017,40,2017-40,1015.816
2017,41,2017-41,1012.872
2017,42,2017-42,1012.15
2017,43,2017-43,1009.686
2017,44,2017-44,1004.722
2017,45,2017-45,996.174
2017,46,2017-46,965.418
2017,47,2017-47,967.106
2017,48,2017-48,960.536
2017,49,2017-49,956.2
2017,50,2017-50,964.992
2017,51,2017-51,968.152
2017,52,2017-52,966.567
2018,1,2018-01,975.498
2018,2,2018-02,993.408
2018,3,2018-03,994.632
2018,4,2018-04,997.3
2018,5,2018-05,977.254
2018,6,2018-06,935.802
2018,7,2018-07,941.808
2018,8,2018-08,960.866
2018,9,2018-09,956.68
2018,10,2018-10,943.922
2018,11,2018-11,950.538
2018,12,2018-12,929.414
2018,13,2018-13,912.475
2018,14,2018-14,907.933
2018,15,2018-15,911.674
2018,16,2018-16,919.324
2018,17,2018-17,925.534
2018,18,2018-18,926.896
2018,19,2018-19,958.85
2018,20,2018-20,960.896
2018,21,2018-21,958.53
2018,22,2018-22,933.36
2018,23,2018-23,931.71
2018,24,2018-24,940.032
2018,25,2018-25,926.82
2018,26,2018-26,914.156
2018,27,2018-27,918.838
2018,28,2018-28,930.924
2018,29,2018-29,934.768
2018,30,2018-30,948.912
2018,31,2018-31,947.638
2018,32,2018-32,944.404
2018,33,2018-33,935.718
2018,34,2018-34,951.744
2018,35,2018-35,964.404
2018,36,2018-36,949.364
2018,37,2018-37,947.644
2018,38,2018-38,955.724
2018,39,2018-39,970.5
2018,40,2018-40,954.76
2018,41,2018-41,908.47
2018,42,2018-42,901.572
2018,43,2018-43,879.79
2018,44,2018-44,892.004
2018,45,2018-45,906.518
2018,46,2018-46,899.388
2018,47,2018-47,875.914
2018,48,2018-48,891.748
2018,49,2018-49,888.364
2018,50,2018-50,885.11
2018,51,2018-51,867.024
2018,52,2018-52,844.5
